All joint Positions
BaseSpine,Head,LeftElbow,LeftFoot,LeftHand,LeftHip,LeftKnee,LeftShoulder,LeftWrist,MidSpine,Neck,RightElbow,RightFoot,RightHand,RightHip,RightKnee,RightShoulder,RightWrist,ShoulderSpine,
(386.19 900.33 1676.65),(245.45 740.67 1672.53),(-7.07 764.24 1671.42),(-113.82 360.45 1662.03),(-20.61 -13.86 1500.22),(491.42 749.82 1681.77),(627.14 357.46 1709.16),(690.04 -107.91 1639.93),(244.74 362.15 1685.2),(225.43 73.95 1672.62),(58.24 -126.59 1644.62),(-22.21 -669.66 1491.19),(0 0 0),(370.28 -137.75 1646.67),(353.95 -709.78 1520.35),(0 0 0),(-36.19 48.5 1527.19),(679.63 -30.37 1651.47),(245.69 865.28 1668.37),
(386.19 900.33 1676.65),(245.45 740.67 1672.53),(-7.07 764.24 1671.42),(-113.82 360.45 1662.03),(-20.61 -13.86 1500.22),(491.42 749.82 1681.77),(627.14 357.46 1709.16),(690.04 -107.91 1639.93),(244.74 362.15 1685.2),(225.43 73.95 1672.62),(58.24 -126.59 1644.62),(-22.21 -669.66 1491.19),(0 0 0),(370.28 -137.75 1646.67),(353.95 -709.78 1520.35),(0 0 0),(-36.19 48.5 1527.19),(679.63 -30.37 1651.47),(245.69 865.28 1668.37),
(372.35 958.54 1736),(249.75 752 1695.79),(-3.72 769.67 1693.07),(-118.35 368.51 1683.64),(-35.19 -9.56 1524.25),(495.73 753.62 1709.45),(630.09 361.95 1739.72),(690.76 -99.13 1667.6),(247.11 374.28 1705.24),(227.61 85.51 1693.1),(59.98 -128.73 1668.42),(-21.24 -696.04 1533.56),(0 0 0),(370.06 -139.59 1667.77),(354.28 -712.43 1531.84),(347.94 -1268.78 1634.49),(-49.07 53.43 1550.82),(680.7 -22.32 1679.62),(250.64 876.76 1692.67),
(372.35 958.54 1736),(249.75 752 1695.79),(-3.72 769.67 1693.07),(-118.35 368.51 1683.64),(-35.19 -9.56 1524.25),(495.73 753.62 1709.45),(630.09 361.95 1739.72),(690.76 -99.13 1667.6),(247.11 374.28 1705.24),(227.61 85.51 1693.1),(59.98 -128.73 1668.42),(-21.24 -696.04 1533.56),(0 0 0),(370.06 -139.59 1667.77),(354.28 -712.43 1531.84),(347.94 -1268.78 1634.49),(-49.07 53.43 1550.82),(680.7 -22.32 1679.62),(250.64 876.76 1692.67),
(324.83 994.25 1780.3),(250.56 757.75 1717.72),(-3.95 771.39 1718.31),(-130 374.18 1706.16),(-63.78 -6.38 1549.52),(496.6 754.07 1737.76),(628.89 362.08 1768.59),(690.82 -92.22 1692.53),(245.56 380.91 1727.44),(227.59 90.49 1714.97),(61.62 -133.91 1693.16),(-19.53 -723.09 1577.33),(0 0 0),(368.11 -143.09 1688.19),(355.32 -717.6 1544.06),(347.94 -1268.78 1634.49),(-74.83 57.03 1575.63),(680.53 -16.54 1705.2),(252.23 882.59 1714.5),
(324.83 994.25 1780.3),(250.56 757.75 1717.72),(-3.95 771.39 1718.31),(-130 374.18 1706.16),(-63.78 -6.38 1549.52),(496.6 754.07 1737.76),(628.89 362.08 1768.59),(690.82 -92.22 1692.53),(245.56 380.91 1727.44),(227.59 90.49 1714.97),(61.62 -133.91 1693.16),(-19.53 -723.09 1577.33),(0 0 0),(368.11 -143.09 1688.19),(355.32 -717.6 1544.06),(347.94 -1268.78 1634.49),(-74.83 57.03 1575.63),(680.53 -16.54 1705.2),(252.23 882.59 1714.5),
(272.67 1012.77 1814.87),(248.54 758.29 1745.1),(-7.73 769.34 1744),(-151.83 373.65 1730.14),(-100.28 -8.81 1576.58),(496.33 749.37 1766.32),(628.04 351.78 1795.13),(691.01 -94.61 1712.87),(240.81 381.7 1754.07),(225.43 89.04 1739.36),(62.96 -141.86 1720.41),(-19.16 -748.39 1620.36),(0 0 0),(365.09 -149.03 1712.27),(355.99 -724.37 1559.54),(347.94 -1268.78 1634.49),(-108.88 54.92 1602.18),(680.53 -20.24 1726.58),(251.11 883.35 1742.12),
(272.67 1012.77 1814.87),(248.54 758.29 1745.1),(-7.73 769.34 1744),(-151.83 373.65 1730.14),(-100.28 -8.81 1576.58),(496.33 749.37 1766.32),(628.04 351.78 1795.13),(691.01 -94.61 1712.87),(240.81 381.7 1754.07),(225.43 89.04 1739.36),(62.96 -141.86 1720.41),(-19.16 -748.39 1620.36),(0 0 0),(365.09 -149.03 1712.27),(355.99 -724.37 1559.54),(347.94 -1268.78 1634.49),(-108.88 54.92 1602.18),(680.53 -20.24 1726.58),(251.11 883.35 1742.12),
(234.93 1021.44 1842.44),(244.8 755.95 1774.72),(-13.21 764.98 1771.69),(-171.3 368.25 1757.24),(-139.52 -14.03 1604.5),(494.27 741.16 1795.68),(623.14 335.55 1820.13),(690.09 -99.42 1726.22),(234 379.09 1783.45),(221.56 83.55 1766.22),(62.95 -149.47 1750.07),(-18.4 -770.95 1664.92),(0 0 0),(361.24 -154.48 1738.96),(356.36 -731.9 1579.68),(347.94 -1268.78 1634.49),(-144.82 49.67 1629.95),(678.93 -26.95 1741.87),(248.39 881.35 1771.82),
(234.93 1021.44 1842.44),(244.8 755.95 1774.72),(-13.21 764.98 1771.69),(-171.3 368.25 1757.24),(-139.52 -14.03 1604.5),(494.27 741.16 1795.68),(623.14 335.55 1820.13),(690.09 -99.42 1726.22),(234 379.09 1783.45),(221.56 83.55 1766.22),(62.95 -149.47 1750.07),(-18.4 -770.95 1664.92),(0 0 0),(361.24 -154.48 1738.96),(356.36 -731.9 1579.68),(347.94 -1268.78 1634.49),(-144.82 49.67 1629.95),(678.93 -26.95 1741.87),(248.39 881.35 1771.82),
(215.79 1024.34 1866.24),(238.86 751.45 1803.54),(-19.7 755.81 1799.77),(-188.45 357.21 1782.99),(-173.73 -23.96 1629.83),(489.73 729.59 1822.41),(610.01 314.43 1841.92),(687.77 -108.48 1736.55),(224.81 373.85 1813.9),(216.09 74.6 1795.28),(60.85 -154.88 1782.81),(-17.93 -787.35 1703.33),(0 0 0),(357.92 -157.04 1768.36),(356.52 -737.39 1602.67),(347.94 -1268.78 1634.49),(-176.18 39.56 1655.35),(674.8 -38.01 1754.11),(243.54 877.27 1800.09),
(209.31 1025.68 1887.07),(229.86 745.42 1830.76),(-27.91 744.28 1829.81),(-197.23 343.74 1808.83),(-203.77 -34.44 1653.22),(480.67 717.51 1850.5),(594.71 297.01 1861.63),(679.48 -116.94 1746.88),(212.84 366.52 1844.12),(206.55 62.94 1825.91),(54.25 -161.13 1817.11),(-16.94 -805.53 1747.68),(0 0 0),(351.71 -157.12 1800.19),(356.37 -740.4 1628.94),(347.94 -1268.78 1634.49),(-202.66 28.58 1679.16),(665.35 -47.95 1766.01),(235.54 871.81 1826.31),
(209.31 1025.68 1887.07),(229.86 745.42 1830.76),(-27.91 744.28 1829.81),(-197.23 343.74 1808.83),(-203.77 -34.44 1653.22),(480.67 717.51 1850.5),(594.71 297.01 1861.63),(679.48 -116.94 1746.88),(212.84 366.52 1844.12),(206.55 62.94 1825.91),(54.25 -161.13 1817.11),(-16.94 -805.53 1747.68),(0 0 0),(351.71 -157.12 1800.19),(356.37 -740.4 1628.94),(347.94 -1268.78 1634.49),(-202.66 28.58 1679.16),(665.35 -47.95 1766.01),(235.54 871.81 1826.31),
(208.01 1027.71 1904.22),(218.41 737.76 1856.99),(-36.78 729.97 1862.33),(-205.14 327.03 1839.34),(-235.08 -44.52 1678.38),(470.26 705.71 1873.91),(582.26 282.01 1881.55),(670.09 -123.08 1756.1),(199.13 353.22 1874.35),(193.94 44.81 1857.41),(44.7 -171.11 1851.7),(-17.02 -824.74 1788.21),(0 0 0),(342.7 -158.62 1833.58),(355.8 -744.54 1657.79),(361.25 -1279.51 1651.95),(-230.08 17.39 1705.21),(655.45 -55.56 1777),(224.79 864.93 1851.26),
(208.01 1027.71 1904.22),(218.41 737.76 1856.99),(-36.78 729.97 1862.33),(-205.14 327.03 1839.34),(-235.08 -44.52 1678.38),(470.26 705.71 1873.91),(582.26 282.01 1881.55),(670.09 -123.08 1756.1),(199.13 353.22 1874.35),(193.94 44.81 1857.41),(44.7 -171.11 1851.7),(-17.02 -824.74 1788.21),(0 0 0),(342.7 -158.62 1833.58),(355.8 -744.54 1657.79),(361.25 -1279.51 1651.95),(-230.08 17.39 1705.21),(655.45 -55.56 1777),(224.79 864.93 1851.26),
(208.01 1027.71 1904.22),(218.41 737.76 1856.99),(-36.78 729.97 1862.33),(-205.14 327.03 1839.34),(-235.08 -44.52 1678.38),(470.26 705.71 1873.91),(582.26 282.01 1881.55),(670.09 -123.08 1756.1),(199.13 353.22 1874.35),(193.94 44.81 1857.41),(44.7 -171.11 1851.7),(-17.02 -824.74 1788.21),(0 0 0),(342.7 -158.62 1833.58),(355.8 -744.54 1657.79),(361.25 -1279.51 1651.95),(-230.08 17.39 1705.21),(655.45 -55.56 1777),(224.79 864.93 1851.26),
(197.46 1029.85 1928.5),(198.66 726.49 1896.4),(-52.66 712.69 1914.14),(-219.67 304.58 1892.56),(-280.3 -56.83 1724.74),(448.73 691.42 1912.76),(570.1 266.08 1910.45),(658.83 -126.55 1770.46),(183.21 333.93 1915.7),(179.1 19.64 1899.66),(35.81 -190.81 1904.84),(-17.19 -854.23 1847.73),(-7.07 -1422.17 2029.29),(332.05 -170.81 1886.73),(352.85 -757.29 1703.53),(361.25 -1279.51 1651.95),(-270.18 3.4 1752.71),(644.04 -61.11 1793.79),(203.73 854.91 1890.09),
(197.46 1029.85 1928.5),(198.66 726.49 1896.4),(-52.66 712.69 1914.14),(-219.67 304.58 1892.56),(-280.3 -56.83 1724.74),(448.73 691.42 1912.76),(570.1 266.08 1910.45),(658.83 -126.55 1770.46),(183.21 333.93 1915.7),(179.1 19.64 1899.66),(35.81 -190.81 1904.84),(-17.19 -854.23 1847.73),(-7.07 -1422.17 2029.29),(332.05 -170.81 1886.73),(352.85 -757.29 1703.53),(361.25 -1279.51 1651.95),(-270.18 3.4 1752.71),(644.04 -61.11 1793.79),(203.73 854.91 1890.09),
(197.46 1029.85 1928.5),(198.66 726.49 1896.4),(-52.66 712.69 1914.14),(-219.67 304.58 1892.56),(-280.3 -56.83 1724.74),(448.73 691.42 1912.76),(570.1 266.08 1910.45),(658.83 -126.55 1770.46),(183.21 333.93 1915.7),(179.1 19.64 1899.66),(35.81 -190.81 1904.84),(-17.19 -854.23 1847.73),(-7.07 -1422.17 2029.29),(332.05 -170.81 1886.73),(352.85 -757.29 1703.53),(361.25 -1279.51 1651.95),(-270.18 3.4 1752.71),(644.04 -61.11 1793.79),(203.73 854.91 1890.09),
